rank_abs,Entity,Code,y2016,abs_change_pp,atlas2025_adult_highBMI_2025_pct,atlas2025_adult_obesity_2025_pct,atlas2025_obese_adults_2015_thousands,atlas2025_obese_adults_2030_thousands,atlas2023_annual_increase_adult_obesity_2020_2035_pct,atlas2023_adult_obesity_2035_pct,atlas2022_adult_obesity_2030_pct,atlas2022_annual_increase_adult_obesity_2010_2030_pct,atlas2022_men_obesity_2030_pct,atlas2022_women_obesity_2030_pct,country_atlas,page_atlas2022,page_atlas2023,page_atlas2025
70,Spain,ESP,23.8,3.5,50.0,15.0,6900.0,5350.0,1.9,37.0,29.4,1.3,31.89,27.06,Spain,246.0,194.0,230.0
73,Czech Republic,CZE,26.0,3.4,62.0,28.0,2010.0,2520.0,1.3,35.0,31.2,1.2,33.36,29.15,Czech Republic,127.0,82.0,111.0
74,Tanzania,TZA,8.4,3.3,35.0,14.0,2130.0,6530.0,4.6,21.0,12.7,3.4,6.17,19.11,Tanzania,255.0,203.0,239.0
74,Mali,MLI,8.6,3.3,37.0,13.0,679.0,1880.0,4.9,23.0,13.1,3.4,7.26,18.81,Mali,188.0,141.0,172.0
74,Pakistan,PAK,8.6,3.3,61.0,26.0,17520.0,47970.0,4.5,21.0,12.9,3.3,9.23,16.64,Pakistan,214.0,164.0,197.0
74,Slovakia,SVK,20.5,3.3,64.0,29.0,1000.0,1390.0,1.9,31.0,25.6,1.5,27.49,23.88,Slovakia,240.0,188.0,223.0
74,Ukraine,UKR,24.1,3.3,59.0,25.0,8500.0,8220.0,1.6,34.0,29.3,1.3,29.03,29.56,Ukraine,267.0,213.0,251.0
79,Angola,AGO,8.2,3.2,34.0,12.0,1208.0,2930.0,4.9,22.0,12.5,3.4,6.39,18.21,Angola,84.0,41.0,69.0
79,Belgium,BEL,22.1,3.2,52.0,21.0,1650.0,2080.0,1.8,33.0,27.4,1.4,29.93,24.92,Belgium,96.0,53.0,81.0
81,Indonesia,IDN,6.9,3.1,43.0,13.0,12690.0,31770.0,5.8,22.0,10.8,3.9,7.81,13.77,Indonesia,162.0,115.0,146.0
81,Benin,BEN,9.6,3.1,32.0,12.0,481.0,1134.0,4.4,24.0,14.0,2.9,7.15,20.77,Benin,98.0,55.0,83.0
81,Liberia,LBR,9.9,3.1,41.0,19.0,270.0,740.0,,,14.1,2.7,8.08,20.0,Liberia,180.0,,164.0
81,Israel,ISR,26.1,3.1,55.0,23.0,1170.0,1580.0,1.6,38.0,31.7,1.2,33.13,30.3,Israel,166.0,119.0,150.0
85,Congo,COG,9.6,3.0,25.0,9.0,197.0,360.0,4.0,22.0,13.8,2.8,8.41,19.1,Congo,120.0,76.0,104.0
85,Zimbabwe,ZWE,15.5,3.0,35.0,15.0,758.0,1629.0,2.6,29.0,20.9,1.8,6.94,32.83,Zimbabwe,278.0,224.0,262.0
