Entity,Code,y2006,y2016,abs_change_pp,rel_change_pct,annual_pp_per_year,pop_2023,pop_last_year,pop_last,ncd_country_2025,Region,Superregion,un_member,un_name,pop_for_filter,pop_ge_5m,ncd_men_2006,ncd_women_2006,ncd_meanMW_2006,ncd_men_2016,ncd_women_2016,ncd_meanMW_2016,ncd_meanMW_abs_change_pp,ncd_men_abs_change_pp,ncd_women_abs_change_pp,rank_abs_all,rank_rel_all
Zambia,ZMB,5.3,8.1,2.8,52.8,0.28,20723965.0,2024.0,21314956.0,Zambia,East Africa,Sub-Saharan Africa,True,Zambia,20723965.0,True,2.20027004125647,8.72914652452768,5.464708282892075,3.72274251574072,12.9886875441237,8.35571502993221,2.8910067470401346,1.5224724744842502,4.2595410195960195,151.0,42.0
Senegal,SEN,6.0,8.8,2.8,46.7,0.28,18077573.0,2024.0,18501984.0,Senegal,West Africa,Sub-Saharan Africa,True,Senegal,18077573.0,True,2.5824439102583,9.47245760775062,6.02745075900446,4.1488066366817495,13.499704290136899,8.824255463409324,2.796804704404864,1.5663627264234496,4.027246682386279,151.0,56.0
Djibouti,DJI,10.7,13.5,2.8,26.2,0.28,1152944.0,2024.0,1168722.0,Djibouti,East Africa,Sub-Saharan Africa,True,Djibouti,1152944.0,False,6.55602726482534,15.671550072596599,11.113788668710969,8.98162567936281,19.1106879809026,14.046156830132706,2.9323681614217367,2.425598414537471,3.4391379083060016,151.0,112.0
Kenya,KEN,4.4,7.1,2.7,61.4,0.27,55339003.0,2024.0,56432944.0,Kenya,East Africa,Sub-Saharan Africa,True,Kenya,55339003.0,True,1.6935910180634302,7.3413395770106495,4.51746529753704,2.97291204571827,11.613995591557499,7.293453818637884,2.775988521100844,1.27932102765484,4.2726560145468495,157.0,30.0
Mauritius,MUS,8.1,10.8,2.7,33.3,0.27,1248647.0,2024.0,1245779.0,Mauritius,Other sub-Saharan Africa,Sub-Saharan Africa,True,Mauritius,1248647.0,False,4.18495059594955,12.465987026250799,8.325468811100174,5.83081549374654,16.352524270851802,11.091669882299172,2.7662010711989975,1.64586489779699,3.886537244601003,157.0,84.0
Russia,RUS,20.4,23.1,2.7,13.2,0.27,143826130.0,2024.0,143533851.0,Russia,Eastern Europe,Central and eastern Europe,True,Russian Federation,143826130.0,True,14.687799665376,26.522666632649,20.6052331490125,18.8793319805182,28.1128087880443,23.49607038428125,2.8908372352687515,4.191532315142199,1.5901421553953021,157.0,186.0
Laos,LAO,2.7,5.3,2.6,96.3,0.26,7664993.0,2024.0,7769819.0,Laos,Southeast Asia,East and southeast Asia,True,Lao People's Democratic Republic,7664993.0,True,1.6031581179418002,3.83414593305516,2.7186520254984803,3.9046669706455104,7.0224179484466,5.463542459546055,2.7448904340475746,2.3015088527037104,3.18827201539144,160.0,3.0
Myanmar,MMR,3.2,5.8,2.6,81.2,0.26,54133798.0,2024.0,54500091.0,Myanmar,Southeast Asia,East and southeast Asia,True,Myanmar,54133798.0,True,2.01729383602698,4.45530618664358,3.2363000113352802,4.21025860655707,7.613184787914889,5.911721697235979,2.675421685900699,2.19296477053009,3.1578786012713094,160.0,10.0
Equatorial Guinea,GNQ,5.4,8.0,2.6,48.1,0.26,1847549.0,2024.0,1892516.0,Equatorial Guinea,Central and southern Africa,Sub-Saharan Africa,True,Equatorial Guinea,1847549.0,False,2.45560156774419,9.20452526290837,5.830063415326279,3.9512588350056497,13.1740596611053,8.562659248055475,2.7325958327291957,1.4956572672614596,3.969534398196931,160.0,50.0
Estonia,EST,18.6,21.2,2.6,14.0,0.26,1370286.0,2024.0,1372341.0,Estonia,Eastern Europe,Central and eastern Europe,True,Estonia,1370286.0,False,17.0646337385353,21.1952199119714,19.12992682525335,21.125116254851502,22.739632081227303,21.932374168039402,2.802447342786053,4.060482516316203,1.544412169255903,160.0,182.0
Burkina Faso,BFA,3.1,5.6,2.5,80.6,0.25,23025776.0,2024.0,23548781.0,Burkina Faso,West Africa,Sub-Saharan Africa,True,Burkina Faso,23025776.0,True,1.3344348157499302,4.7858053375750105,3.0601200766624705,2.70321348846986,8.48866494894571,5.595939218707785,2.5358191420453142,1.3687786727199298,3.702859611370699,164.0,11.0
Rwanda,RWA,3.3,5.8,2.5,75.8,0.25,13954471.0,2024.0,14256567.0,Rwanda,East Africa,Sub-Saharan Africa,True,Rwanda,13954471.0,True,1.01141974183325,5.71912724485734,3.365273493345295,2.00582887907723,9.741068121149569,5.873448500113399,2.5081750067681043,0.9944091372439798,4.021940876292229,164.0,15.0
Democratic Republic of Congo,COD,4.2,6.7,2.5,59.5,0.25,105789731.0,2024.0,109276265.0,DR Congo,Central and southern Africa,Sub-Saharan Africa,True,Democratic Republic of the Congo,105789731.0,True,2.0638498498551,6.4831492195314,4.27349953469325,3.73164851585052,10.1214347729727,6.92654164441161,2.65304210971836,1.66779866599542,3.6382855534412997,164.0,33.0
Central African Republic,CAF,5.0,7.5,2.5,50.0,0.25,5152421.0,2024.0,5330690.0,Central African Republic,Central and southern Africa,Sub-Saharan Africa,True,Central African Republic,5152421.0,True,2.33811531270352,7.797659386256569,5.067887349480045,3.8625676871654897,11.412300225324099,7.637433956244794,2.5695466067647494,1.5244523744619696,3.6146408390675298,164.0,45.0
Comoros,COM,5.3,7.8,2.5,47.2,0.25,850387.0,2024.0,866628.0,Comoros,East Africa,Sub-Saharan Africa,True,Comoros,850387.0,False,2.20876143131084,8.63186828993654,5.42031486062369,3.44355598830466,12.7115349052559,8.077545446780281,2.657230586156591,1.23479455699382,4.079666615319361,164.0,55.0
