member_state,wiki_link,date_of_admission,source_url,access_date,channel
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Madagascar,https://en.wikipedia.org/wiki/Madagascar,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Malawi,https://en.wikipedia.org/wiki/Malawi,1 December 1964,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Malaysia,https://en.wikipedia.org/wiki/Malaysia,17 September 1957,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Maldives,https://en.wikipedia.org/wiki/Maldives,21 September 1965,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Mali,https://en.wikipedia.org/wiki/Mali,28 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Malta,https://en.wikipedia.org/wiki/Malta,1 December 1964,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands,17 September 1991,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Mauritania,https://en.wikipedia.org/wiki/Mauritania,27 October 1961,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Mauritius,https://en.wikipedia.org/wiki/Mauritius,24 April 1968,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Mexico,https://en.wikipedia.org/wiki/Mexico,7 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Micronesia (Federated States of),https://en.wikipedia.org/wiki/Federated_States_of_Micronesia,17 September 1991,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Monaco,https://en.wikipedia.org/wiki/Monaco,28 May 1993,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Mongolia,https://en.wikipedia.org/wiki/Mongolia,27 October 1961,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Montenegro,https://en.wikipedia.org/wiki/Montenegro,28 June 2006,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Morocco,https://en.wikipedia.org/wiki/Morocco,12 November 1956,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Mozambique,https://en.wikipedia.org/wiki/Mozambique,16 September 1975,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Myanmar,https://en.wikipedia.org/wiki/Myanmar,19 April 1948,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Namibia,https://en.wikipedia.org/wiki/Namibia,23 April 1990,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Naoero,https://en.wikipedia.org/wiki/Nauru,14 September 1999,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Nepal,https://en.wikipedia.org/wiki/Nepal,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Netherlands,https://en.wikipedia.org/wiki/Netherlands,10 December 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
New Zealand,https://en.wikipedia.org/wiki/New_Zealand,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Niger,https://en.wikipedia.org/wiki/Niger,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Nigeria,https://en.wikipedia.org/wiki/Nigeria,7 October 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia,8 April 1993,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Norway,https://en.wikipedia.org/wiki/Norway,27 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Oman,https://en.wikipedia.org/wiki/Oman,7 October 1971,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Pakistan,https://en.wikipedia.org/wiki/Pakistan,30 September 1947,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Palau,https://en.wikipedia.org/wiki/Palau,15 December 1994,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Panama,https://en.wikipedia.org/wiki/Panama,13 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Papua New Guinea,https://en.wikipedia.org/wiki/Papua_New_Guinea,10 October 1975,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Paraguay,https://en.wikipedia.org/wiki/Paraguay,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Peru,https://en.wikipedia.org/wiki/Peru,31 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Philippines,https://en.wikipedia.org/wiki/Philippines,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Poland,https://en.wikipedia.org/wiki/Poland,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Portugal,https://en.wikipedia.org/wiki/Portugal,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Qatar,https://en.wikipedia.org/wiki/Qatar,21 September 1971,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Republic of Korea,https://en.wikipedia.org/wiki/Republic_of_Korea,17 September 1991,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Republic of Moldova,https://en.wikipedia.org/wiki/Moldova,2 March 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Romania,https://en.wikipedia.org/wiki/Romania,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Russian Federation,https://en.wikipedia.org/wiki/Russia,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Rwanda,https://en.wikipedia.org/wiki/Rwanda,18 September 1962,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Saint Kitts and Nevis,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis,23 September 1983,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Saint Lucia,https://en.wikipedia.org/wiki/Saint_Lucia,18 September 1979,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
