member_state,date_of_admission,source_url,access_date,channel
Republic of Korea,17 September 1991,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Republic of Moldova,2 March 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Romania,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Russian Federation,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Rwanda,18 September 1962,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Saint Kitts and Nevis,23 September 1983,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Saint Lucia,18 September 1979,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Saint Vincent and the Grenadines,16 September 1980,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Samoa,15 December 1976,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
San Marino,2 March 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Sao Tome and Principe,16 September 1975,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Saudi Arabia,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Senegal,28 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Serbia,1 November 2000,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Seychelles,21 September 1976,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Sierra Leone,27 September 1961,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Singapore,21 September 1965,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Slovakia,19 January 1993,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Slovenia,22 May 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Solomon Islands,19 September 1978,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Somalia,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
South Africa,7 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
South Sudan,14 July 2011,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Spain,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Sri Lanka,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Sudan,12 November 1956,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Suriname,4 December 1975,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Sweden,19 November 1946,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Switzerland,10 September 2002,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Syrian Arab Republic,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Tajikistan,2 March 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Thailand,16 December 1946,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Timor-Leste,27 September 2002,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Togo,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Tonga,14 September 1999,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Trinidad and Tobago,18 September 1962,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Tunisia,12 November 1956,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Türkiye,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Turkmenistan,2 March 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Tuvalu,5 September 2000,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Uganda,25 October 1962,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Ukraine,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
United Arab Emirates,9 December 1971,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
United Kingdom of Great Britain and Northern Ireland,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
United Republic of Tanzania,14 December 1961,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
United States of America,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Uruguay,18 December 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Uzbekistan,2 March 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Vanuatu,15 September 1981,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Venezuela (Bolivarian Republic of),15 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Vietnam,20 September 1977,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Yemen,30 September 1947,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Zambia,1 December 1964,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Zimbabwe,25 August 1980,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
