Entity,Code,Year,obesity_pct,ncd_country,ncd_men_pct,ncd_women_pct,ncd_mean_MW_pct,abs_diff_pp
United Kingdom,GBR,2006,21.9,United Kingdom,21.329237440671,24.1786358147141,22.75393662769255,0.8539366276925513
Albania,ALB,2016,21.7,Albania,22.3735442662153,22.721484996103598,22.54751463115945,0.8475146311594521
Tunisia,TUN,2016,26.9,Tunisia,19.867653638181302,35.6223585736617,27.7450061059215,0.8450061059215024
Greece,GRC,2016,24.9,Greece,25.0421452186512,26.4353284795816,25.7387368491164,0.8387368491164011
Spain,ESP,2016,23.8,Spain,25.4868604860036,23.7794035829473,24.63313203447545,0.8331320344754509
Serbia,SRB,2016,21.5,Serbia,21.8618144268841,22.7939253362546,22.32786988156935,0.8278698815693488
Belgium,BEL,2016,22.1,Belgium,23.9851087805987,21.8693587629467,22.9272337717727,0.827233771772697
Poland,POL,2016,23.1,Poland,24.633845294245198,23.220093317888903,23.92696930606705,0.8269693060670491
Bulgaria,BGR,2016,25.0,Bulgaria,26.3721859363714,25.2749569317252,25.8235714340483,0.8235714340483007
Macedonia,MKD,2016,22.4,Macedonia (TFYR),23.4449590086245,22.9994297802127,23.2221943944186,0.8221943944186023
Barbados,BRB,2016,23.1,Barbados,15.2687757028521,32.575462424129796,23.922119063490946,0.8221190634909448
Belize,BLZ,2016,24.1,Belize,17.122203761774802,32.7174263066139,24.91981503419435,0.8198150341943489
Andorra,AND,2006,23.6,Andorra,23.4120913500211,25.4235142509893,24.4178028005052,0.8178028005051985
Czech Republic,CZE,2006,22.6,Czech Republic,22.6117678367837,24.2237172840626,23.41774256042315,0.8177425604231487
Algeria,DZA,2006,20.8,Algeria,13.956976689388101,29.277874249405798,21.61742546939695,0.817425469396948
France,FRA,2016,21.6,France,22.8624168719371,21.9681294800126,22.41527317597485,0.8152731759748484
Portugal,PRT,2016,20.8,Portugal,21.1152759164386,22.1151428580555,21.61520938724705,0.8152093872470481
Netherlands,NLD,2016,20.4,Netherlands,21.5737659919611,20.856616348664,21.21519117031255,0.8151911703125521
Montenegro,MNE,2016,23.3,Montenegro,24.106710539681302,24.1015060230375,24.1041082813594,0.8041082813594009
Costa Rica,CRI,2006,18.6,Costa Rica,14.5775153704646,24.2195462627271,19.39853081659585,0.79853081659585
Vanuatu,VUT,2006,19.0,Vanuatu,14.793514024461299,24.802734559752402,19.79812429210685,0.7981242921068485
Slovenia,SVN,2016,20.2,Slovenia,20.1229421375041,21.8732816592747,20.9981118983894,0.7981118983894007
Hungary,HUN,2006,21.7,Hungary,22.8307025867175,22.1644828451817,22.4975927159496,0.7975927159496017
Egypt,EGY,2006,25.5,Egypt,17.0547249153432,35.5403371740264,26.2975310446848,0.7975310446847992
Saint Vincent and the Grenadines,VCT,2006,17.7,Saint Vincent and the Grenadines,11.4579223853243,25.5354769946791,18.4966996900017,0.7966996900017023
Paraguay,PRY,2016,20.3,Paraguay,17.7996610710569,24.391424300317897,21.0955426856874,0.7955426856873977
Switzerland,CHE,2016,19.5,Switzerland,22.9975001634003,17.5930777539024,20.295288958651348,0.7952889586513479
Bahamas,BHS,2016,31.6,Bahamas,25.3023355462079,39.4838386330546,32.39308708963125,0.7930870896312499
